地名,センター（center.csvを使わない場合は空白化）,燃やすごみ,蛍光灯・乾電池,燃やさないごみ,かん,びん,剪定枝・草,ペットボトル・衣類,紙類
生駒町,,月 木,20200225 20200428 20200623 20200825 20201027 20201222,20200129 20200226 20200325 20200422 20200527 20200624 20200722 20200826 20200923 20201028 20201125 20201223,20200107 20200204 20200303 20200407 20200505 20200602 20200707 20200804 20200901 20201006 20201103 20201201,20200124 20200221 20200320 20200417 20200515 20200619 20200717 20200821 20200918 20201016 20201120 20201218,20200107 20200124 20200204 20200221 20200303 20200320 20200407 20200417 20200505 20200515 20200602 20200619 20200707 20200717 20200804 20200821 20200901 20200918 20201006 20201016 20201103 20201120 20201201 20201218,20200131 20200228 20200327 20200424 20200522 20200626 20200724 20200828 20200925 20201023 20201127 20201225,20200117 20200131 20200214 20200228 20200313 20200327 20200410 20200424 20200508 20200522 20200612 20200626 20200710 20200724 20200814 20200828 20200911 20200925 20201009 20201023 20201113 20201127 20201211 20201225
寺家町１丁目,,月 木,20200225 20200428 20200623 20200825 20201027 20201222,20200129 20200226 20200325 20200422 20200527 20200624 20200722 20200826 20200923 20201028 20201125 20201223,20200107 20200204 20200303 20200407 20200505 20200602 20200707 20200804 20200901 20201006 20201103 20201201,20200124 20200221 20200320 20200417 20200515 20200619 20200717 20200821 20200918 20201016 20201120 20201218,20200107 20200124 20200204 20200221 20200303 20200320 20200407 20200417 20200505 20200515 20200602 20200619 20200707 20200717 20200804 20200821 20200901 20200918 20201006 20201016 20201103 20201120 20201201 20201218,20200131 20200228 20200327 20200424 20200522 20200626 20200724 20200828 20200925 20201023 20201127 20201225,20200117 20200131 20200214 20200228 20200313 20200327 20200410 20200424 20200508 20200522 20200612 20200626 20200710 20200724 20200814 20200828 20200911 20200925 20201009 20201023 20201113 20201127 20201211 20201225
寺家町２丁目,,月 木,20200225 20200428 20200623 20200825 20201027 20201222,20200129 20200226 20200325 20200422 20200527 20200624 20200722 20200826 20200923 20201028 20201125 20201223,20200107 20200204 20200303 20200407 20200505 20200602 20200707 20200804 20200901 20201006 20201103 20201201,20200124 20200221 20200320 20200417 20200515 20200619 20200717 20200821 20200918 20201016 20201120 20201218,20200107 20200124 20200204 20200221 20200303 20200320 20200407 20200417 20200505 20200515 20200602 20200619 20200707 20200717 20200804 20200821 20200901 20200918 20201006 20201016 20201103 20201120 20201201 20201218,20200131 20200228 20200327 20200424 20200522 20200626 20200724 20200828 20200925 20201023 20201127 20201225,20200117 20200131 20200214 20200228 20200313 20200327 20200410 20200424 20200508 20200522 20200612 20200626 20200710 20200724 20200814 20200828 20200911 20200925 20201009 20201023 20201113 20201127 20201211 20201225
寺家町３丁目,,月 木,20200225 20200428 20200623 20200825 20201027 20201222,20200129 20200226 20200325 20200422 20200527 20200624 20200722 20200826 20200923 20201028 20201125 20201223,20200107 20200204 20200303 20200407 20200505 20200602 20200707 20200804 20200901 20201006 20201103 20201201,20200124 20200221 20200320 20200417 20200515 20200619 20200717 20200821 20200918 20201016 20201120 20201218,20200107 20200124 20200204 20200221 20200303 20200320 20200407 20200417 20200505 20200515 20200602 20200619 20200707 20200717 20200804 20200821 20200901 20200918 20201006 20201016 20201103 20201120 20201201 20201218,20200131 20200228 20200327 20200424 20200522 20200626 20200724 20200828 20200925 20201023 20201127 20201225,20200117 20200131 20200214 20200228 20200313 20200327 20200410 20200424 20200508 20200522 20200612 20200626 20200710 20200724 20200814 20200828 20200911 20200925 20201009 20201023 20201113 20201127 20201211 20201225
南本町１丁目,,月 木,20200225 20200428 20200623 20200825 20201027 20201222,20200129 20200226 20200325 20200422 20200527 20200624 20200722 20200826 20200923 20201028 20201125 20201223,20200107 20200204 20200303 20200407 20200505 20200602 20200707 20200804 20200901 20201006 20201103 20201201,20200124 20200221 20200320 20200417 20200515 20200619 20200717 20200821 20200918 20201016 20201120 20201218,20200107 20200124 20200204 20200221 20200303 20200320 20200407 20200417 20200505 20200515 20200602 20200619 20200707 20200717 20200804 20200821 20200901 20200918 20201006 20201016 20201103 20201120 20201201 20201218,20200131 20200228 20200327 20200424 20200522 20200626 20200724 20200828 20200925 20201023 20201127 20201225,20200117 20200131 20200214 20200228 20200313 20200327 20200410 20200424 20200508 20200522 20200612 20200626 20200710 20200724 20200814 20200828 20200911 20200925 20201009 20201023 20201113 20201127 20201211 20201225
南本町２丁目,,月 木,20200225 20200428 20200623 20200825 20201027 20201222,20200129 20200226 20200325 20200422 20200527 20200624 20200722 20200826 20200923 20201028 20201125 20201223,20200107 20200204 20200303 20200407 20200505 20200602 20200707 20200804 20200901 20201006 20201103 20201201,20200124 20200221 20200320 20200417 20200515 20200619 20200717 20200821 20200918 20201016 20201120 20201218,20200107 20200124 20200204 20200221 20200303 20200320 20200407 20200417 20200505 20200515 20200602 20200619 20200707 20200717 20200804 20200821 20200901 20200918 20201006 20201016 20201103 20201120 20201201 20201218,20200131 20200228 20200327 20200424 20200522 20200626 20200724 20200828 20200925 20201023 20201127 20201225,20200117 20200131 20200214 20200228 20200313 20200327 20200410 20200424 20200508 20200522 20200612 20200626 20200710 20200724 20200814 20200828 20200911 20200925 20201009 20201023 20201113 20201127 20201211 20201225
南本町３丁目,,月 木,20200225 20200428 20200623 20200825 20201027 20201222,20200129 20200226 20200325 20200422 20200527 20200624 20200722 20200826 20200923 20201028 20201125 20201223,20200107 20200204 20200303 20200407 20200505 20200602 20200707 20200804 20200901 20201006 20201103 20201201,20200124 20200221 20200320 20200417 20200515 20200619 20200717 20200821 20200918 20201016 20201120 20201218,20200107 20200124 20200204 20200221 20200303 20200320 20200407 20200417 20200505 20200515 20200602 20200619 20200707 20200717 20200804 20200821 20200901 20200918 20201006 20201016 20201103 20201120 20201201 20201218,20200131 20200228 20200327 20200424 20200522 20200626 20200724 20200828 20200925 20201023 20201127 20201225,20200117 20200131 20200214 20200228 20200313 20200327 20200410 20200424 20200508 20200522 20200612 20200626 20200710 20200724 20200814 20200828 20200911 20200925 20201009 20201023 20201113 20201127 20201211 20201225
小門口,,月 木,20200225 20200428 20200623 20200825 20201027 20201222,20200129 20200226 20200325 20200422 20200527 20200624 20200722 20200826 20200923 20201028 20201125 20201223,20200107 20200204 20200303 20200407 20200505 20200602 20200707 20200804 20200901 20201006 20201103 20201201,20200124 20200221 20200320 20200417 20200515 20200619 20200717 20200821 20200918 20201016 20201120 20201218,20200107 20200124 20200204 20200221 20200303 20200320 20200407 20200417 20200505 20200515 20200602 20200619 20200707 20200717 20200804 20200821 20200901 20200918 20201006 20201016 20201103 20201120 20201201 20201218,20200131 20200228 20200327 20200424 20200522 20200626 20200724 20200828 20200925 20201023 20201127 20201225,20200117 20200131 20200214 20200228 20200313 20200327 20200410 20200424 20200508 20200522 20200612 20200626 20200710 20200724 20200814 20200828 20200911 20200925 20201009 20201023 20201113 20201127 20201211 20201225
大川町,,月 木,20200225 20200428 20200623 20200825 20201027 20201222,20200129 20200226 20200325 20200422 20200527 20200624 20200722 20200826 20200923 20201028 20201125 20201223,20200107 20200204 20200303 20200407 20200505 20200602 20200707 20200804 20200901 20201006 20201103 20201201,20200124 20200221 20200320 20200417 20200515 20200619 20200717 20200821 20200918 20201016 20201120 20201218,20200107 20200124 20200204 20200221 20200303 20200320 20200407 20200417 20200505 20200515 20200602 20200619 20200707 20200717 20200804 20200821 20200901 20200918 20201006 20201016 20201103 20201120 20201201 20201218,20200131 20200228 20200327 20200424 20200522 20200626 20200724 20200828 20200925 20201023 20201127 20201225,20200117 20200131 20200214 20200228 20200313 20200327 20200410 20200424 20200508 20200522 20200612 20200626 20200710 20200724 20200814 20200828 20200911 20200925 20201009 20201023 20201113 20201127 20201211 20201225
泊町１丁目,,月 木,20200225 20200428 20200623 20200825 20201027 20201222,20200129 20200226 20200325 20200422 20200527 20200624 20200722 20200826 20200923 20201028 20201125 20201223,20200107 20200204 20200303 20200407 20200505 20200602 20200707 20200804 20200901 20201006 20201103 20201201,20200124 20200221 20200320 20200417 20200515 20200619 20200717 20200821 20200918 20201016 20201120 20201218,20200107 20200124 20200204 20200221 20200303 20200320 20200407 20200417 20200505 20200515 20200602 20200619 20200707 20200717 20200804 20200821 20200901 20200918 20201006 20201016 20201103 20201120 20201201 20201218,20200131 20200228 20200327 20200424 20200522 20200626 20200724 20200828 20200925 20201023 20201127 20201225,20200117 20200131 20200214 20200228 20200313 20200327 20200410 20200424 20200508 20200522 20200612 20200626 20200710 20200724 20200814 20200828 20200911 20200925 20201009 20201023 20201113 20201127 20201211 20201225
泊町2丁目,,月 木,20200225 20200428 20200623 20200825 20201027 20201222,20200129 20200226 20200325 20200422 20200527 20200624 20200722 20200826 20200923 20201028 20201125 20201223,20200107 20200204 20200303 20200407 20200505 20200602 20200707 20200804 20200901 20201006 20201103 20201201,20200124 20200221 20200320 20200417 20200515 20200619 20200717 20200821 20200918 20201016 20201120 20201218,20200107 20200124 20200204 20200221 20200303 20200320 20200407 20200417 20200505 20200515 20200602 20200619 20200707 20200717 20200804 20200821 20200901 20200918 20201006 20201016 20201103 20201120 20201201 20201218,20200131 20200228 20200327 20200424 20200522 20200626 20200724 20200828 20200925 20201023 20201127 20201225,20200117 20200131 20200214 20200228 20200313 20200327 20200410 20200424 20200508 20200522 20200612 20200626 20200710 20200724 20200814 20200828 20200911 20200925 20201009 20201023 20201113 20201127 20201211 20201225
東本町,,月 木,20200225 20200428 20200623 20200825 20201027 20201222,20200129 20200226 20200325 20200422 20200527 20200624 20200722 20200826 20200923 20201028 20201125 20201223,20200107 20200204 20200303 20200407 20200505 20200602 20200707 20200804 20200901 20201006 20201103 20201201,20200124 20200221 20200320 20200417 20200515 20200619 20200717 20200821 20200918 20201016 20201120 20201218,20200107 20200124 20200204 20200221 20200303 20200320 20200407 20200417 20200505 20200515 20200602 20200619 20200707 20200717 20200804 20200821 20200901 20200918 20201006 20201016 20201103 20201120 20201201 20201218,20200131 20200228 20200327 20200424 20200522 20200626 20200724 20200828 20200925 20201023 20201127 20201225,20200117 20200131 20200214 20200228 20200313 20200327 20200410 20200424 20200508 20200522 20200612 20200626 20200710 20200724 20200814 20200828 20200911 20200925 20201009 20201023 20201113 20201127 20201211 20201225
本町１丁目,,月 木,20200225 20200428 20200623 20200825 20201027 20201222,20200129 20200226 20200325 20200422 20200527 20200624 20200722 20200826 20200923 20201028 20201125 20201223,20200107 20200204 20200303 20200407 20200505 20200602 20200707 20200804 20200901 20201006 20201103 20201201,20200124 20200221 20200320 20200417 20200515 20200619 20200717 20200821 20200918 20201016 20201120 20201218,20200107 20200124 20200204 20200221 20200303 20200320 20200407 20200417 20200505 20200515 20200602 20200619 20200707 20200717 20200804 20200821 20200901 20200918 20201006 20201016 20201103 20201120 20201201 20201218,20200131 20200228 20200327 20200424 20200522 20200626 20200724 20200828 20200925 20201023 20201127 20201225,20200117 20200131 20200214 20200228 20200313 20200327 20200410 20200424 20200508 20200522 20200612 20200626 20200710 20200724 20200814 20200828 20200911 20200925 20201009 20201023 20201113 20201127 20201211 20201225
本町２丁目,,月 木,20200225 20200428 20200623 20200825 20201027 20201222,20200129 20200226 20200325 20200422 20200527 20200624 20200722 20200826 20200923 20201028 20201125 20201223,20200107 20200204 20200303 20200407 20200505 20200602 20200707 20200804 20200901 20201006 20201103 20201201,20200124 20200221 20200320 20200417 20200515 20200619 20200717 20200821 20200918 20201016 20201120 20201218,20200107 20200124 20200204 20200221 20200303 20200320 20200407 20200417 20200505 20200515 20200602 20200619 20200707 20200717 20200804 20200821 20200901 20200918 20201006 20201016 20201103 20201120 20201201 20201218,20200131 20200228 20200327 20200424 20200522 20200626 20200724 20200828 20200925 20201023 20201127 20201225,20200117 20200131 20200214 20200228 20200313 20200327 20200410 20200424 20200508 20200522 20200612 20200626 20200710 20200724 20200814 20200828 20200911 20200925 20201009 20201023 20201113 20201127 20201211 20201225
本町３丁目,,月 木,20200225 20200428 20200623 20200825 20201027 20201222,20200129 20200226 20200325 20200422 20200527 20200624 20200722 20200826 20200923 20201028 20201125 20201223,20200107 20200204 20200303 20200407 20200505 20200602 20200707 20200804 20200901 20201006 20201103 20201201,20200124 20200221 20200320 20200417 20200515 20200619 20200717 20200821 20200918 20201016 20201120 20201218,20200107 20200124 20200204 20200221 20200303 20200320 20200407 20200417 20200505 20200515 20200602 20200619 20200707 20200717 20200804 20200821 20200901 20200918 20201006 20201016 20201103 20201120 20201201 20201218,20200131 20200228 20200327 20200424 20200522 20200626 20200724 20200828 20200925 20201023 20201127 20201225,20200117 20200131 20200214 20200228 20200313 20200327 20200410 20200424 20200508 20200522 20200612 20200626 20200710 20200724 20200814 20200828 20200911 20200925 20201009 20201023 20201113 20201127 20201211 20201225
西本町１丁目,,月 木,20200225 20200428 20200623 20200825 20201027 20201222,20200129 20200226 20200325 20200422 20200527 20200624 20200722 20200826 20200923 20201028 20201125 20201223,20200107 20200204 20200303 20200407 20200505 20200602 20200707 20200804 20200901 20201006 20201103 20201201,20200124 20200221 20200320 20200417 20200515 20200619 20200717 20200821 20200918 20201016 20201120 20201218,20200107 20200124 20200204 20200221 20200303 20200320 20200407 20200417 20200505 20200515 20200602 20200619 20200707 20200717 20200804 20200821 20200901 20200918 20201006 20201016 20201103 20201120 20201201 20201218,20200131 20200228 20200327 20200424 20200522 20200626 20200724 20200828 20200925 20201023 20201127 20201225,20200117 20200131 20200214 20200228 20200313 20200327 20200410 20200424 20200508 20200522 20200612 20200626 20200710 20200724 20200814 20200828 20200911 20200925 20201009 20201023 20201113 20201127 20201211 20201225
西本町２丁目,,月 木,20200225 20200428 20200623 20200825 20201027 20201222,20200129 20200226 20200325 20200422 20200527 20200624 20200722 20200826 20200923 20201028 20201125 20201223,20200107 20200204 20200303 20200407 20200505 20200602 20200707 20200804 20200901 20201006 20201103 20201201,20200124 20200221 20200320 20200417 20200515 20200619 20200717 20200821 20200918 20201016 20201120 20201218,20200107 20200124 20200204 20200221 20200303 20200320 20200407 20200417 20200505 20200515 20200602 20200619 20200707 20200717 20200804 20200821 20200901 20200918 20201006 20201016 20201103 20201120 20201201 20201218,20200131 20200228 20200327 20200424 20200522 20200626 20200724 20200828 20200925 20201023 20201127 20201225,20200117 20200131 20200214 20200228 20200313 20200327 20200410 20200424 20200508 20200522 20200612 20200626 20200710 20200724 20200814 20200828 20200911 20200925 20201009 20201023 20201113 20201127 20201211 20201225
西河原,,月 木,20200225 20200428 20200623 20200825 20201027 20201222,20200129 20200226 20200325 20200422 20200527 20200624 20200722 20200826 20200923 20201028 20201125 20201223,20200107 20200204 20200303 20200407 20200505 20200602 20200707 20200804 20200901 20201006 20201103 20201201,20200124 20200221 20200320 20200417 20200515 20200619 20200717 20200821 20200918 20201016 20201120 20201218,20200107 20200124 20200204 20200221 20200303 20200320 20200407 20200417 20200505 20200515 20200602 20200619 20200707 20200717 20200804 20200821 20200901 20200918 20201006 20201016 20201103 20201120 20201201 20201218,20200131 20200228 20200327 20200424 20200522 20200626 20200724 20200828 20200925 20201023 20201127 20201225,20200117 20200131 20200214 20200228 20200313 20200327 20200410 20200424 20200508 20200522 20200612 20200626 20200710 20200724 20200814 20200828 20200911 20200925 20201009 20201023 20201113 20201127 20201211 20201225
加古川西団地,,月 木,20200225 20200428 20200623 20200825 20201027 20201222,20200129 20200226 20200325 20200422 20200527 20200624 20200722 20200826 20200923 20201028 20201125 20201223,20200107 20200204 20200303 20200407 20200505 20200602 20200707 20200804 20200901 20201006 20201103 20201201,20200124 20200221 20200320 20200417 20200515 20200619 20200717 20200821 20200918 20201016 20201120 20201218,20200107 20200124 20200204 20200221 20200303 20200320 20200407 20200417 20200505 20200515 20200602 20200619 20200707 20200717 20200804 20200821 20200901 20200918 20201006 20201016 20201103 20201120 20201201 20201218,20200131 20200228 20200327 20200424 20200522 20200626 20200724 20200828 20200925 20201023 20201127 20201225,20200117 20200131 20200214 20200228 20200313 20200327 20200410 20200424 20200508 20200522 20200612 20200626 20200710 20200724 20200814 20200828 20200911 20200925 20201009 20201023 20201113 20201127 20201211 20201225
サンロイヤル,,月 木,20200225 20200428 20200623 20200825 20201027 20201222,20200129 20200226 20200325 20200422 20200527 20200624 20200722 20200826 20200923 20201028 20201125 20201223,20200107 20200204 20200303 20200407 20200505 20200602 20200707 20200804 20200901 20201006 20201103 20201201,20200124 20200221 20200320 20200417 20200515 20200619 20200717 20200821 20200918 20201016 20201120 20201218,20200107 20200124 20200204 20200221 20200303 20200320 20200407 20200417 20200505 20200515 20200602 20200619 20200707 20200717 20200804 20200821 20200901 20200918 20201006 20201016 20201103 20201120 20201201 20201218,20200131 20200228 20200327 20200424 20200522 20200626 20200724 20200828 20200925 20201023 20201127 20201225,20200117 20200131 20200214 20200228 20200313 20200327 20200410 20200424 20200508 20200522 20200612 20200626 20200710 20200724 20200814 20200828 20200911 20200925 20201009 20201023 20201113 20201127 20201211 20201225
ベル・アーバニティ加古川Ⅱ,,月 木,20200225 20200428 20200623 20200825 20201027 20201222,20200129 20200226 20200325 20200422 20200527 20200624 20200722 20200826 20200923 20201028 20201125 20201223,20200107 20200204 20200303 20200407 20200505 20200602 20200707 20200804 20200901 20201006 20201103 20201201,20200124 20200221 20200320 20200417 20200515 20200619 20200717 20200821 20200918 20201016 20201120 20201218,20200107 20200124 20200204 20200221 20200303 20200320 20200407 20200417 20200505 20200515 20200602 20200619 20200707 20200717 20200804 20200821 20200901 20200918 20201006 20201016 20201103 20201120 20201201 20201218,20200131 20200228 20200327 20200424 20200522 20200626 20200724 20200828 20200925 20201023 20201127 20201225,20200117 20200131 20200214 20200228 20200313 20200327 20200410 20200424 20200508 20200522 20200612 20200626 20200710 20200724 20200814 20200828 20200911 20200925 20201009 20201023 20201113 20201127 20201211 20201225
木村,,月 木,20200204 20200407 20200602 20200804 20201006 20201201,20200129 20200226 20200325 20200422 20200527 20200624 20200722 20200826 20200923 20201028 20201125 20201223,20200117 20200214 20200313 20200410 20200508 20200612 20200710 20200814 20200911 20201009 20201113 20201211,20200131 20200228 20200327 20200424 20200522 20200626 20200724 20200828 20200925 20201023 20201127 20201225,20200117 20200131 20200214 20200228 20200313 20200327 20200410 20200424 20200508 20200522 20200612 20200626 20200710 20200724 20200814 20200828 20200911 20200925 20201009 20201023 20201113 20201127 20201211 20201225,20200110 20200207 20200306 20200403 20200501 20200605 20200703 20200807 20200904 20201002 20201106 20201204,20200110 20200124 20200207 20200221 20200306 20200320 20200403 20200417 20200501 20200515 20200605 20200619 20200703 20200717 20200807 20200821 20200904 20200918 20201002 20201016 20201106 20201120 20201204 20201218
