label,sublabel,description,styles,bgcolor
燃やさないごみ,,,img/moyasanai02.svg,#733b96
ペットボトル・衣類,,,,#77ae1f
燃やすごみ,,,img/moyasu02.svg,#ea3b13
びん,,,img/bin02.svg,#2dc7aa
蛍光灯・乾電池,,,,#733b96
かん,,,,#77ae1f
紙類,,,,#ea3b13
剪定枝,,,,#ea3b13
